名称及规格,单位,数量,市场价,合计
综合工日 ,工日,0.3948,80,31.58
综合工日 ,工日,0.0185,80,1.48
综合工日 ,工日,4.4821,80,358.57
综合工日 ,工日,6995.9565,80,559676.52
其他人工费 ,元,2531.6532,1,2531.65
人工费调整 ,元,0.0274,1,0.03
防水砂浆 ,m3,1.3,302.35,393.06
圆钢 Φ10以内,kg,349.6334,2.34,818.14
圆钢 Φ10以内,kg,36.6099,2.34,85.67
角钢 63以内,kg,298,2.37,706.26
扁钢 60以内,kg,127.0864,2.37,301.19
扁钢 60以内,kg,237.536,2.37,562.96
镀锌角钢 ,kg,0.916,3.37,3.09
镀锌扁钢 ,kg,395.27,3.37,1332.06
镀锌扁钢 ,kg,18.57,3.37,62.58
普通钢板 δ=1-1.5,kg,8.4,3.58,30.07
普通钢板 δ=8-15,kg,206.6,2.67,551.62
镀锌钢管 50,m,5.55,26.04,144.52
镀锌钢管 80,m,27.75,44.33,1230.16
镀锌钢管 150,m,14.8,98.04,1450.99
焊接钢管 15,m,206.7004,5.08,1050.04
焊接钢管 20,m,4490.285,6.57,29501.17
焊接钢管 25,m,2676.661,9.5,25428.28
焊接钢管 32,m,517.678,12.29,6362.26
焊接钢管 40,m,390.267,15.08,5885.23
焊接钢管 50,m,45.732,19.16,876.23
焊接钢管 70,m,115.875,26.08,3022.02
KBG扣压式薄壁钢管 20,m,1151.334,6.63,7633.34
KBG扣压式薄壁钢管 25,m,3257.89,8.44,27496.59
KBG扣压式薄壁钢管 32,m,156.045,10.96,1710.25
紫铜板 ,kg,2.4,23.6,56.64
封铅 ,kg,11.0643,27.54,304.71
钢板垫板 ,kg,3,2.67,8.01
垫铁 ,kg,2.19,1.65,3.61
镀锌圆钢 Φ10以外,kg,42.48,3.4,144.43
钢保护管 40*400,根,41.6101,3.53,146.88
水泥 综合,kg,1183.1935,0.366,433.05
板方材 ,m3,3.205,1683,5394.02
三合板 ,m2,25.192,11.42,287.69
红机砖 ,块,144,0.5,72
砂子 ,kg,5179.7438,0.036,186.47
石子 综合,kg,499.32,0.032,15.98
石子 综合,kg,2315.925,0.032,74.11
镀锌垫圈 8,个,3750.7345,0.04,150.03
镀锌垫圈 10,个,3880.1137,0.04,155.2
镀锌弹簧垫圈 8,个,1867.7172,0.004,7.47
镀锌六角螺栓 16*35～60,个,68.4553,0.65,44.5
膨胀螺栓 Φ6,套,516.12,0.42,216.77
锁紧螺母 15,个,31.0051,0.18,5.58
锁紧螺母 20,个,3681.7075,0.22,809.98
锁紧螺母 25,个,401.4992,0.28,112.42
锁紧螺母 32,个,77.6517,0.34,26.4
锁紧螺母 40,个,58.5401,0.41,24
锁紧螺母 50,个,6.8598,0.49,3.36
锁紧螺母 70,个,17.3813,0.64,11.12
镀锌带母螺栓 8*16～25,套,606.9972,0.16,97.12
镀锌带母螺栓 8*30～60,套,15.3,0.26,3.98
镀锌带母螺栓 8*85～100,套,1260.72,0.41,516.9
镀锌带母螺栓 10*20～35,套,1176.0804,0.28,329.3
镀锌带母螺栓 10*40～60,套,167.1576,0.4,66.86
镀锌带母螺栓 10*85～100,套,660.96,0.57,376.75
镀锌带母螺栓 12*40～60,套,106.08,0.47,49.86
镀锌带母螺栓 16*85～100,套,2.04,1.93,3.94
膨胀螺栓 Φ8,套,489.6,0.66,323.14
膨胀螺栓 Φ10,套,216.24,1.43,309.22
木螺丝 ,个,1484.62,0.021,31.18
镀锌机螺钉 6～12*12～120,个,2679.04,0.218,584.03
镀锌木螺钉 ,个,11583.52,0.044,509.67
带母螺钉 5*15,套,821.4631,0.034,27.93
镀锌电缆卡子 2*35,个,160.2287,0.94,150.61
镀锌电缆卡子 3*35,个,146.2457,1.13,165.26
镀锌扁钢卡子 ,kg,310.2125,3.37,1045.42
镀锌铁丝 8#-12#,kg,17.7713,3.85,68.42
镀锌铁丝 13#-17#,kg,207.2675,4.1,849.8
圆钉 ,kg,34.0576,3.64,123.97
电焊条(综合) ,kg,405.1828,4.9,1985.4
焊锡膏 50g/瓶,kg,14.9716,24,359.32
焊锡丝 ,kg,58.452,29,1695.11
焊锡 ,kg,137.1839,29,3978.33
镀锌垫圈 6,个,28.56,0.04,1.14
镀锌垫圈 16,个,2.04,0.1,0.2
镀锌弹簧垫圈 10,个,1907.4133,0.007,13.35
镀锌机螺钉 M6,套,114.24,0.286,32.67
地脚螺栓 10*100,套,8.16,0.36,2.94
镀锌锁紧螺母(金属软管用) 20,个,58.24,0.24,13.98
铰链 ,付,149,10,1490
PVC管专用弹簧 ,根,227.6222,13.75,3129.81
铜制带母螺栓 6*30,套,32.64,0.46,15.01
镀锌蝶形螺母 10,个,68.4553,0.49,33.54
橡胶垫 δ=2,m2,8.9267,20,178.53
调合漆 ,kg,124.1982,9.5,1179.88
红丹防锈漆 ,kg,112.3919,11.4,1281.27
防锈漆 ,kg,61.0346,12.54,765.37
酚醛防锈漆 ,kg,5.6193,9.4,52.82
酚醛磁漆 ,kg,0.66,13.3,8.78
清油 ,kg,27.0717,13.3,360.05
胶合剂 ,kg,145.3205,5.89,855.94
铅油 ,kg,11.0175,7.3,80.43
沥青绝缘漆 ,kg,7.3271,6.91,50.63
沥青清漆 ,kg,19.2723,3.86,74.39
沥青漆 ,kg,45.6497,3.86,176.21
乙炔气 ,m3,2.95,15,44.25
氧气 ,m3,4.91,3,14.73
硬脂酸 ,kg,0.7138,10.21,7.29
电力复合脂 一级,kg,86.15,20,1723
汽油 60#-70#,kg,602.9539,2.9,1748.57
200号溶剂汽油 ,kg,28.5144,2.4,68.43
防水粉 ,kg,20.8,6.1,126.88
银粉涂料 ,kg,0.708,12.86,9.1
环氧粘接剂 ,kg,28.608,43.7,1250.17
塑料带 20*40,卷,44.36,3.99,177
塑料胶粘带 20*50,卷,89.6,4.5,403.2
塑料胀塞 ,个,4.2,0.03,0.13
塑料异形管 Φ5,m,30.5,0.19,5.8
塑料软管 Φ7,m,114.714,0.15,17.21
塑料软管 Φ9,m,864,0.23,198.72
塑料软管 Φ12,m,72,0.3,21.6
塑料软管 Φ16,m,144,0.56,80.64
塑料软管 ,kg,35.81,7.99,286.12
标志牌 ,个,213.4721,0.02,4.27
路名牌 ,张,114.24,2,228.48
油麻绳 ,kg,17.7,10.26,181.6
硬塑料管 15,m,3.6,1.13,4.07
PVC 阻燃塑料管 15,m,6644.543,1.84,12225.96
PVC 阻燃塑料管 20,m,13712.9417,2.35,32225.41
PVC 阻燃塑料管 25,m,3232.5075,2.75,8889.4
PVC 阻燃塑料管 32,m,91.4148,4.89,447.02
普通灯泡 ,个,1635.64,1.15,1880.99
塑料台 ,个,1497.3,1.4,2096.22
荧光灯吊链 ,m,138,2.17,299.46
荧光灯管 40W,条,132.31,4.8,635.09
座灯灯口 ,个,881.28,3,2643.84
座灯灯口 ,个,297.84,3,893.52
金属软管卡子 20,个,58.88,0.32,18.84
塑料护口 15～25,个,3008.1647,0.1,300.82
塑料护口(钢管) 15,个,31.0051,0.1,3.1
塑料护口(钢管) 20,个,673.5428,0.1,67.35
塑料护口(钢管) 25,个,401.4992,0.2,80.3
塑料护口(钢管) 32,个,77.6517,0.2,15.53
塑料护口(钢管) 40,个,58.5401,0.4,23.42
塑料护口(钢管) 50,个,6.8598,0.4,2.74
塑料护口(钢管) 70,个,17.3813,0.6,10.43
接线盒 86H,个,846.5878,2.2,1862.49
塑料接线盒 86HS,个,4310.4782,1.62,6982.97
拉线箱300 ,个,177.691,18,3198.44
接线箱 700,个,2,21,42
接线箱 700,个,264,21,5544
金属软管 Φ20,m,20.6,2.91,59.95
铜绑线2 ,kg,50.04,21.14,1057.85
塑料灯头盒 S1-S4,个,1393.8555,1.62,2258.05
接线盒盖 ,个,146.88,1,146.88
铁制灯头盒 T1-T4,个,532.4359,2.18,1160.71
铜端子 6,个,42.63,1.4,59.68
铜端子 10,个,850.5904,2,1701.18
铜端子 25,个,113.68,3.2,363.78
铜端子 70,个,517.65,8.8,4555.32
铜端子 240,个,50.75,21.38,1085.04
胀管扎头 ,个,5872.1084,0.1,587.21
KBG接地卡子 Φ20,个,1036.2006,0.24,248.69
KBG接地卡子 Φ25,个,2443.4175,0.31,757.46
KBG接地卡子 Φ32,个,117.0338,0.43,50.32
相色带 ,卷,24.6,3.52,86.59
KBG直管接头 Φ20,个,287.8335,0.5,143.92
KBG直管接头 Φ25,个,814.4725,0.6,488.68
KBG直管接头 Φ32,个,39.0113,1.1,42.91
直管接头 15,个,1096.8789,0.7,767.82
直管接头 20,个,2263.7278,0.8,1810.98
直管接头 25,个,469.2938,1.1,516.22
直管接头 32,个,13.2716,1.8,23.89
尼龙接头 20,个,29.44,0.52,15.31
KBG螺纹管接头 Φ20,个,460.5336,2.3,1059.23
KBG螺纹管接头 Φ25,个,814.4725,3,2443.42
KBG螺纹管接头 Φ32,个,39.0113,4.3,167.75
焊接钢管接头 15,个,33.0721,0.36,11.91
焊接钢管接头 20,个,718.4456,0.73,524.47
焊接钢管接头 25,个,428.2658,1.02,436.83
焊接钢管接头 32,个,82.8285,1.52,125.9
焊接钢管接头 40,个,62.4427,1.82,113.65
焊接钢管接头 50,个,7.3171,2.61,19.1
焊接钢管接头70 ,个,17.3813,3.26,56.66
入盒接头及锁扣 15,套,967.8344,2.5,2419.59
入盒接头及锁扣 20,套,1997.4069,2.7,5393
入盒接头及锁扣 25,套,469.2938,3.4,1595.6
入盒接头及锁扣 32,套,13.2716,4.9,65.03
胶木线夹 ,个,48,0.16,7.68
