名称及规格,单位,数量,市场价,合计
综合工日 ,工日,23.088,80,1847.04
综合工日 ,工日,5031.5147,80,402521.18
综合工日 ,工日,6.836,80,546.88
其他人工费 ,元,2498.8596,1,2498.86
人工费调整 ,元,13295.9799,1,13295.98
型钢 ,kg,1654.7448,2.37,3921.75
圆钢 Φ10以内,kg,139.3208,2.34,326.01
圆钢 Φ10以外,kg,0.8544,2.4,2.05
角钢 63以内,kg,33.8467,2.37,80.22
角钢 63以外,kg,2.0737,2.42,5.02
扁钢 60以内,kg,709.2185,2.37,1680.85
普通钢板 δ=1.6-1.9,kg,1.36,3.5,4.76
普通钢板 δ=3.5-4.0,kg,14.6067,2.58,37.69
普通钢板 δ=4.1-7,kg,9.6,2.71,26.02
普通钢板 δ=8-15,kg,261.4077,2.67,697.96
普通钢板 δ=16-20,kg,561.9308,2.64,1483.5
镀锌钢管 15,m,1310.2206,7.26,9512.2
衬塑钢管 15,m,89.6478,19.07,1709.58
镀锌钢管 15,m,2,7.26,14.52
镀锌钢管 20,m,3.264,9.44,30.81
衬塑钢管 20,m,84.8844,24.58,2086.46
镀锌钢管 25,m,64.056,13.71,878.21
衬塑钢管 25,m,49.1232,37.64,1849
镀锌钢管 32,m,22.032,17.1,376.75
衬塑钢管 32,m,104.55,47.94,5012.13
镀锌钢管 40,m,238.884,20.97,5009.4
衬塑钢管 40,m,323.6562,61.2,19807.76
衬塑钢管 50,m,314.0478,77.72,24407.8
衬塑钢管 70,m,7.9866,100.98,806.49
衬塑钢管 100,m,49.3374,161.16,7951.22
焊接钢管 20,m,134.0486,6.53,875.34
焊接钢管 25,m,346.2813,9.5,3289.67
焊接钢管 32,m,133.7219,12.29,1643.44
焊接钢管 40,m,6.8957,15.04,103.71
焊接钢管 50,m,93.6769,19.09,1788.29
焊接钢管 70,m,333.8377,26.04,8693.13
焊接钢管 80,m,141.0769,32.83,4631.55
焊接钢管 100,m,237.957,42.53,10120.31
焊接钢管 125,m,10.2312,59.83,612.13
焊接钢管 150,m,121.2566,70.77,8581.33
焊接钢管 200,m,11.9825,100.44,1203.52
铅板 ,kg,0.32,8.9,2.85
无缝钢管 22*2.5,m,6,6,36
水泥 综合,kg,4982.7738,0.366,1823.7
白水泥 ,kg,1,0.55,0.55
板方材 ,m3,0.044,1198,52.71
硬木 ,m3,0.098,2183,213.93
砂子 ,kg,24143.5781,0.036,869.17
砂子 ,kg,6.4,0.036,0.23
碎石、块石 ,m3,0.592,48.17,28.52
管卡 综合 25以内,个,484.772,0.45,218.15
管卡 综合 50以内,个,39.9602,0.64,25.57
垫圈 16,个,593.28,0.02,11.87
垫圈 20,个,944.305,0.04,37.77
螺栓 ,个,52.0568,3.73,194.17
六角螺母 10,个,2.8302,0.064,0.18
带母螺栓 8*16-25,套,45.835,0.114,5.23
带母螺栓 12*40-60,套,1600.3356,0.339,542.51
带母螺栓 16*65-80,套,477.92,0.794,379.47
双头带母螺栓 16*120-140,套,57.68,0.91,52.49
双头带母螺栓 20*150-190,套,49.44,1.968,97.3
膨胀螺栓 Φ8,套,169.744,0.66,112.03
膨胀螺栓 Φ10,套,2930.3628,1.43,4190.42
膨胀螺栓 Φ12,套,1565.6,1.56,2442.34
膨胀螺栓 Φ16,套,16.48,2.7,44.5
平垫铁 ,kg,24.384,1.9,46.33
斜垫铁 ,kg,24.48,1.9,46.51
木螺丝 ,个,97.392,0.021,2.05
镀锌机螺钉 2～5*4～50,个,18,0.051,0.92
单管卡子 20,个,9,0.34,3.06
铁丝 8#-12#,kg,1.5416,2.9,4.47
镀锌铁丝 8#-12#,kg,55.9614,3.85,215.45
镀锌铁丝 13#-17#,kg,417.2828,4.1,1710.86
电焊条(综合) ,kg,304.8452,4.9,1493.74
气焊条 ,kg,13.4503,4,53.8
螺栓及垫片 ,kg,13.1176,5.12,67.16
膨胀螺栓(综合) ,套,761.6707,1.56,1188.21
膨胀螺栓 ,个,70441.0252,0.1,7044.1
螺母 ,kg,27.1721,5.87,159.5
橡胶圈 50,个,250.5248,1,250.52
橡胶圈 75,个,64.56,1.26,81.35
橡胶圈 100,个,202.8144,2.25,456.33
胶皮管 25,m,1.5,4.34,6.51
石棉绒 ,kg,156.6933,4.05,634.61
石棉盘根 ,kg,8.08,7.7,62.22
石棉橡胶板 ,kg,125.1926,8.1,1014.06
橡胶板 δ=1-3,kg,18.5541,8.2,152.14
高压胶皮水管 ,m,99.9246,11.57,1156.13
活接头垫 15,个,1138.2,0.03,34.15
活接头垫 20,个,174.3,0.03,5.23
活接头垫 25,个,90.3,0.03,2.71
活接头垫 32,个,12.6,0.04,0.5
活接头垫 40,个,8.4,0.04,0.34
活接头垫 50,个,13.65,0.04,0.55
调合漆 ,kg,389.0411,12.85,4999.18
防锈漆 ,kg,115.2343,12.54,1445.04
酚醛调合漆 ,kg,21.6106,12.54,271
酚醛清漆 ,kg,5.6526,11.1,62.74
清油 ,kg,1.1,13.3,14.63
银粉 ,kg,1.3927,22.28,31.03
酒精 ,kg,133.8195,8.2,1097.32
丙酮 ,kg,84.4002,6.2,523.28
铅油 ,kg,63.1024,7.3,460.65
乙炔气 ,m3,130.4749,15,1957.12
氧气 ,m3,329.7995,3,989.4
油灰 ,kg,0.8,1.2,0.96
粘接剂 ,kg,56.9244,13.5,768.48
黄油 ,kg,2.424,5.4,13.09
机油 ,kg,92.4298,4.67,431.65
煤油 ,kg,6.72,3.24,21.77
汽油 ,kg,1.632,3.62,5.91
汽油 60#-70#,kg,0.45,2.9,1.31
200号溶剂汽油 ,kg,85.515,2.4,205.24
漂白粉 ,kg,4.0238,1.6,6.44
聚氨脂胶粘剂 ,kg,112.1775,4,448.71
聚四氟乙烯生料带 d=20,m,661.608,0.25,165.4
塑料胶粘带 20*50,卷,448.71,4.5,2019.2
玻璃丝布 ,m2,1832.5825,2.4,4398.2
玻璃棉 δ=20,m2,538.452,14,7538.33
玻璃棉管壳 ,m3,36.5753,600,21945.18
油麻 ,kg,338.6267,5.4,1828.58
棉丝 ,kg,69.5918,5.5,382.75
位号牌 ,个,9,2,18
柔性下水铸铁管接头零件(室内) 50,个,114.0641,11.95,1363.07
柔性下水铸铁管接头零件(室内) 75,个,30.024,18.71,561.75
柔性下水铸铁管接头零件(室内) 100,个,92.7768,31.54,2926.18
柔性下水铸铁管 50,m,87.208,37.4,3261.58
柔性下水铸铁管 75,m,22.08,54.4,1201.15
柔性下水铸铁管 100,m,61.248,74.8,4581.35
柔性下水铸铁管法兰压盖 50,个,250.5248,3.3,826.73
柔性下水铸铁管法兰压盖 75,个,64.56,3.8,245.33
柔性下水铸铁管法兰压盖 100,个,202.8144,4.8,973.51
球胆 50,个,22.1284,18,398.31
球胆 75,个,41.7648,22,918.83
