名称及规格,单位,数量,市场价,合计
综合工日 ,工日,634.0586,95,60235.57
综合工日 ,工日,1137.3165,95,108045.07
综合工日 ,工日,208.9393,95,19849.23
综合工日 ,工日,4692.3659,95,445774.76
综合工日 ,工日,693.567,95,65888.87
综合工日 ,工日,20.3729,95,1935.43
综合工日 ,工日,332.5064,95,31588.11
其他人工费 ,元,11469.0388,1,11469.04
外墙保温抗裂砂浆罩面人工费 ,元,6694.51,10,66945.1
外墙涂料饰面人工费 ,元,8730.96,9,78578.64
人工费调整 ,元,50498.8894,1,50498.89
钢管 ,m,125.628,15.6,1959.8
水泥 综合,kg,88525.6459,0.464,41075.9
石灰 ,kg,1.0872,0.153,0.17
砂子 ,kg,321452.1679,0.068,21858.75
金刚砂 ,kg,293.475,1.632,478.95
白灰 ,kg,4311.2217,0.214,922.6
塑料踢脚 ,m,65.8376,18,1185.08
轻钢龙骨50*20 ,m,5032.6672,6.41,32259.4
加气混凝土条板 ,m2,311.5455,64.26,20019.91
GRC条板 单层 ,m2,5016.6165,45.9,230262.7
矿棉吸音板 ,m2,327.063,35,11447.21
矿棉板吊顶专用龙骨38*15 ,m,396.6441,3.1,1229.6
矿棉板吊顶专用龙骨50*15 ,m,1274.5838,3.8,4843.42
膨胀螺栓 Φ10,套,850.0432,1.43,1215.56
预埋铁件 ,kg,54.3035,4.44,241.11
执手锁 ,个,2,50.4,100.8
合页 ,个,5.328,1.7,9.06
插销 ,个,2.376,3.1,7.37
拉手 ,个,2.376,0.42,1
铝合金装饰板 ,m2,820.6361,120,98476.33
镀锌法兰Φ50 ,个,460.997,12.566,5792.89
Φ50钢管扶手 ,m,379.05,13.88,5261.21
烤漆钢管 ,m,610.2663,13,7933.46
钢管栏杆 ,m,188.7457,13,2453.69
油漆溶剂油 ,kg,0.8886,2.4,2.13
JS-复合防水涂料 ,kg,2717.8784,8.2,22286.6
醇酸调合漆 ,kg,4.5448,12.3,55.9
大白粉 ,kg,0.8121,0.3,0.24
调合漆 ,kg,0.792,9.5,7.52
漆片 ,kg,0.0036,36.95,0.13
清油 ,kg,0.0648,14.28,0.93
上光蜡 ,kg,1.3342,7.8,10.41
石膏粉 ,kg,1.3982,0.612,0.86
熟桐油(光油) ,kg,0.3722,26.316,9.79
无光调合漆 ,kg,0.9,13.77,12.39
催干剂 ,kg,0.1992,29.58,5.89
玻璃胶(密封胶) ,支,139.4656,6.936,967.33
滑石粉 ,kg,8.0634,0.35,2.82
聚醋酸乙烯乳液 ,kg,0.9862,4.6,4.54
乳液型建筑胶粘剂 ,kg,1299.9212,1.6,2079.87
羧甲基纤维素 ,kg,0.174,11,1.91
防腐油 ,kg,1.0908,1.51,1.65
建筑胶 ,kg,285.2616,1.877,535.44
建筑胶 ,kg,604.3941,1.877,1134.45
防水粉 ,kg,50.4563,7.854,396.28
CY-401粘结剂 ,kg,26.1045,10.5,274.1
室内乳胶漆 ,kg,1345.4504,11.4,15338.13
水性封底漆(普通) ,kg,1093.5922,6.834,7473.61
防裂腻子 ,kg,20983.7125,1.428,29964.74
防潮底漆 ,kg,399.48,11.5,4594.02
耐水腻子(粉) ,kg,44203.0961,2.2,97246.81
粉刷石膏 ,kg,77245.5548,0.7,54071.89
乳胶漆[顶棚] ,kg,751.0946,8.058,6052.32
泡沫塑料条 ,m,9532.1336,0.4,3812.85
聚氯乙烯抗静电塑料地板 ,m2,59.1702,17.23,1019.5
玻璃丝布 ,m2,892.92,2.856,2550.18
玻璃棉毡 ,m3,44.2208,217.26,9607.41
耐碱涂塑玻纤网格布 ,m2,1667.4278,1.67,2784.6
35厚膨胀玻化微珠保温 ,m2,1725.7536,30.8,53153.21
纸筋 ,kg,20.562,0.59,12.13
胶合板木门 ,m2,3.6,201.98,727.13
C10预拌砼 C10,m3,6.6959,300,2008.77
C20预拌豆石砼 C20,m3,89.794,340,30529.96
C15预拌豆石砼 C15,m3,73.9711,330,24410.46
CL7.5预拌陶粒砼 ,m3,513.4285,440,225908.54
界面砂浆DB ,m3,0.5978,2380,1422.76
其他材料费 ,元,19849.7024,1,19849.7
外墙保温抗裂砂浆罩面材料费 ,元,6694.51,35,234307.85
外墙涂料饰面材料费 ,元,8730.96,16,139695.36
材料费调整 ,元,161253.664,1,161253.66
其他机具费 ,元,44852.7704,1,44852.77
