名称及规格,单位,数量,市场价,合计,单位面积用量
综合工日 ,工日,43900.7773,90.0,3869042.71,3.43619108485
III 级钢筋 Φ10以外,kg,352006.525,3.835,1349945.02,27.5521700845
C25预拌砼 C25,m3,3459.7509,370.0,1280107.83,0.270800790545
III 级钢筋 Φ10以内,kg,236391.65,3.866,913890.12,18.5027903882
I 级钢筋 Φ10以内,kg,189546.075,3.57,676679.49,14.8361048059
C30预拌砼 C30,m3,1057.8286,390.0,412553.15,0.0827981058234
C30预拌抗渗砼 C30,m3,920.1267,410.0,377251.95,0.0720199358172
外墙保温抗裂砂浆罩面材料费 ,元,6694.51,35.0,234307.85,0.523991077019
GRC条板 单层 ,m2,5016.6165,45.9,230262.7,0.392659400438
CL7.5预拌陶粒砼 ,m3,513.4285,440.0,225908.54,0.0401869520977
80厚聚苯板 20kg/m3,m3,605.1699,370.77,224378.84,0.0473677128992
材料费调整 ,元,201811.9254,1.0,201811.92,15.7961744991
SBS改性沥青油毡防水卷材 3mm,m2,7245.745,26.3,190563.09,0.567137210394
散热器 ,片,4365.22,36.0,157147.92,0.341673450219
其他机具费 ,元,139720.2254,1.0,139720.22,10.9361478867
外墙涂料饰面材料费 ,元,8730.96,16.0,139695.36,0.683387601753
其他材料费 ,元,129191.1315,1.0,129191.13,10.1120171807
机械费 ,元,125538.18,1.0,125538.18,9.8260942392
聚氨酯防水涂料 ,kg,6945.8887,16.3,113217.99,0.543666930182
PPR铝塑稳态复合管DE20 ,m,7901.8482,13.16,103988.32,0.618491562304
铝合金装饰板 ,m2,820.6361,120.0,98476.33,0.0642326314966
耐水腻子(粉) ,kg,44203.0961,2.2,97246.81,3.45985410927
白灰 ,kg,417272.6126,0.214,89296.33,32.6606615999
2:8灰土 2:8,m3,2688.07,32.31,86851.54,0.210399968691
水泥 综合,kg,187480.7277,0.464,86386.8,14.6744464386
轻钢结构空调板 ,t,12.27,7000.0,85890.0,0.000960394489668
外墙涂料饰面人工费 ,元,8730.96,9.0,78578.64,0.683387601753
加气混凝土块 ,m3,367.8889,213.03,78371.37,0.0287953115216
ZRJV-4*50+1*25 ,m,508.535,149.51,76031.07,0.0398039292423
人工费调整 ,元,72909.2467,1.0,72909.25,5.70673502661
外墙保温抗裂砂浆罩面人工费 ,元,6694.51,10.0,66945.1,0.523991077019
BV-4 ,m,28887.384,2.18,62974.5,2.26106637445
钢筋成型加工及运费 Φ10以内,kg,425941.3125,0.135,57502.07,33.3391759941
ZRYJV-4*50+1*25 ,m,375.114,149.51,56083.29,0.0293608328115
两通恒温阀DN15 ,个,791.84,69.5,55032.88,0.0619787100814
粉刷石膏 ,kg,77245.5548,0.7,54071.89,6.04614549155
35厚膨胀玻化微珠保温 ,m2,1725.7536,30.8,53153.21,0.13507777082
YJV-4*240+1*120 ,m,78.78,666.23,52485.6,0.00616624921728
其他人工费 ,元,51732.5566,1.0,51732.56,4.04919823106
膨胀钢钉 ,m2,6876.93,7.5,51576.98,0.538269411396
BV-2.5 ,m,34389.4064,1.41,48489.07,2.69171934878
砂子 ,kg,711878.6068,0.068,47469.2,55.7199911396
