名称及规格,单位,数量,市场价,合计,单位面积用量
综合工日 ,工日,7000.8519,80.0,560068.15,0.547968996556
ZRJV-4*50+1*25 ,m,508.535,149.51,76031.07,0.0398039292423
BV-4 ,m,28887.384,2.18,62974.5,2.26106637445
ZRYJV-4*50+1*25 ,m,375.114,149.51,56083.29,0.0293608328115
YJV-4*240+1*120 ,m,78.78,666.23,52485.6,0.00616624921728
BV-2.5 ,m,34389.4064,1.41,48489.07,2.69171934878
BV10 ,m,6904.38,5.83,40252.54,0.540417971196
NHYJV-4*25+1*16 ,m,403.1314,96.52,38910.24,0.0315538040075
NHYJV-5*16 ,m,530.2096,71.46,37888.78,0.0415004383219
电缆桥架SR400*150加隔板 ,m,153.2625,211.25,32376.7,0.0119961255479
PVC 阻燃塑料管 20,m,13712.9417,2.35,32225.41,1.07333607545
焊接钢管 20,m,4490.285,6.57,29501.17,0.351462507827
KBG扣压式薄壁钢管 25,m,3257.89,8.44,27496.59,0.255000782718
NHBV-2.5 ,m,9961.0012,2.62,26097.82,0.779665090795
焊接钢管 25,m,2676.661,9.5,25428.28,0.209506966187
其他机具费 ,元,20794.8095,1.0,20794.81,1.62764632905
ZRYJV-4*25+1*16 ,m,235.128,84.07,19767.21,0.0184038822793
电缆桥架SR200*100 ,m,175.8449,94.45,16608.55,0.0137636897307
ZRJV-4*25+1*16 ,m,155.3986,84.07,13064.36,0.0121633218535
BV70 ,m,325.08,38.62,12554.59,0.0254445835942
PVC 阻燃塑料管 15,m,6644.543,1.84,12225.96,0.52008007201
安全出口指示灯（自带蓄电池） ,套,103.02,110.0,11332.2,0.00806355666875
镀锌扁钢 ,kg,2299.9479,3.37,10240.49,0.180020969004
铜端子 10,个,1289.0704,2.0,8936.1,0.100897808391
PVC 阻燃塑料管 25,m,3232.5075,2.75,8889.4,0.253014049781
其他材料费 ,元,8459.8264,1.0,8459.83,0.662165497808
KBG扣压式薄壁钢管 20,m,1151.334,6.63,7633.34,0.0901169380088
端子箱 ,台,148.0,50.0,7400.0,0.0115842204133
铜端子 16,个,438.48,16.5,7234.92,0.0343206011271
单相带保护门二、三极插座（卧室、起居室） ,个,1101.6,6.5,7160.4,0.0862241703193
塑料接线盒 86HS,个,4310.4782,1.62,6982.97,0.337388713212
电缆桥架SR800*150加隔板 ,m,16.9845,400.05,6794.65,0.00132940670006
走道普通吸顶灯 ,套,167.66,40.0,6706.4,0.013123043206
焊接钢管 32,m,517.678,12.29,6362.26,0.0405195679399
铜端子 70,个,590.73,8.8,5943.84,0.0462374765185
焊接钢管 40,m,390.267,15.08,5885.23,0.030546884784
YJV-5*6 ,m,271.387,20.89,5669.27,0.0212419380088
接线箱 700,个,266.0,21.0,5586.0,0.0208202880401
防火材料 ,m3,2.163,2500.0,5407.5,0.000169301815905
板方材 ,m3,3.205,1683.0,5394.02,0.000250860989355
入盒接头及锁扣 20,套,1997.4069,2.7,5393.0,0.156340552599
普通灯 ,套,94.94,49.0,4652.06,0.0074311208516
双管荧光灯（自带电容补偿） ,套,61.61,75.0,4620.75,0.00482232310582
电缆桥架SR500*100 ,m,21.9593,207.88,4564.9,0.00171879304947
YJV-4*50+1*25 ,m,29.997,135.92,4077.19,0.0023479179712
焊锡 ,kg,137.1839,29.0,3978.33,0.0107376252348
单相三极空调插座 ,个,496.74,7.45,3700.71,0.0388807138384
座灯灯口 ,个,1179.12,3.0,3537.36,0.0922917971196
单联三接点声光控延时开关 ,个,93.84,35.2,3303.17,0.00734502191609
拉线箱300 ,个,177.691,18.0,3198.44,0.013908187226
PVC管专用弹簧 ,根,227.6222,13.75,3129.81,0.0178163901064
BV35 ,m,162.54,18.87,3067.13,0.0127222917971
焊接钢管 70,m,115.875,26.08,3022.02,0.00906974013776
NHYJV-5*10 ,m,54.54,51.87,2828.99,0.00426894176581
其他人工费 ,元,2531.6532,1.0,2531.65,0.198156950532
单相二、三极防溅插座（厨房） ,个,293.76,8.6,2526.34,0.0229931120852
KBG螺纹管接头 Φ25,个,814.4725,3.0,2443.42,0.0637501956794
入盒接头及锁扣 15,套,967.8344,2.5,2419.59,0.0757541014402
单控单联跷板开关 ,个,564.06,4.2,2369.05,0.0441499686913
塑料灯头盒 S1-S4,个,1393.8555,1.62,2258.05,0.109099522542
塑料台 ,个,1497.3,1.4,2096.22,0.117196305573
角钢 63以内,kg,654.304,2.37,2031.71,0.0512135253601
电缆桥架SR100*100 ,m,32.964,60.49,1993.99,0.00258015028178
电焊条(综合) ,kg,405.1828,4.9,1985.4,0.0317143706951
其他构件 ,t,0.2875,6752.0,1941.2,2.25031308704e-05
机房防潮灯 ,套,36.36,53.0,1927.08,0.00284596117721
普通灯泡 ,个,1635.64,1.15,1880.99,0.128024420789
接线盒 86H,个,846.5878,2.2,1862.49,0.0662639167188
直管接头 20,个,2263.7278,0.8,1810.98,0.177185958046
单控双联跷板开关 ,个,350.88,5.1,1789.49,0.0274639949906
汽油 60#-70#,kg,602.9539,2.9,1748.57,0.04719426268
电力复合脂 一级,kg,86.15,20.0,1723.0,0.00674311208516
KBG扣压式薄壁钢管 32,m,156.045,10.96,1710.25,0.0122139167188
焊锡丝 ,kg,58.452,29.0,1695.11,0.00457514088917
单向安全疏散指示灯（自带蓄电池） ,套,15.15,110.0,1666.5,0.00118581715717
入盒接头及锁扣 25,套,469.2938,3.4,1595.6,0.0367324514715
接地编织铜线 ,m,158.8,10.0,1588.0,0.0124295554164
绝缘导线 BV-2.5,m,2500.823,0.62,1550.51,0.195743816531
铰链 ,付,149.0,10.0,1490.0,0.0116624921728
镀锌钢管 150,m,14.8,98.04,1450.99,0.00115842204133
NHYJV-5*4 ,m,57.166,25.11,1435.44,0.00447448340639
镀锌圆钢 Φ10以外,kg,290.2429,3.4,1355.99,0.0227178224796
单相三极带开关防溅插座（洗衣机） ,个,183.6,7.25,1331.1,0.0143706950532
红丹防锈漆 ,kg,112.3919,11.4,1281.27,0.00879711177207
ZRBV-4 ,m,533.252,2.4,1279.8,0.0417385723231
环氧粘接剂 ,kg,28.608,43.7,1250.17,0.00223919849718
BV25 ,m,90.195,13.69,1234.77,0.00705972135254
镀锌钢管 80,m,27.75,44.33,1230.16,0.00217204132749
铜端子 50,个,73.08,16.5,1205.82,0.00572010018785
调合漆 ,kg,124.1982,9.5,1179.88,0.00972121164684
铁制灯头盒 T1-T4,个,532.4359,2.18,1160.71,0.0416746947401
YJV-5*2.5 ,m,111.1,10.38,1153.22,0.00869599248591
铜端子 240,个,50.75,21.38,1085.04,0.00397229179712
单相三极带开关防溅插座（抽油烟机） ,个,146.88,7.25,1064.88,0.0114965560426
KBG螺纹管接头 Φ20,个,460.5336,2.3,1059.23,0.0360467752035
铜绑线2 ,kg,50.04,21.14,1057.85,0.00391671884784
焊接钢管 15,m,206.7004,5.08,1050.04,0.0161788040075
镀锌扁钢卡子 ,kg,310.2125,3.37,1045.42,0.0242808782091
圆钢 Φ10以内,kg,422.8695,2.34,1034.57,0.0330987398247
单相三极防溅插座（电热水器） ,个,146.88,6.7,984.1,0.0114965560426
铜端子 25,个,150.22,3.2,966.69,0.0117579837195
单相二、三极防溅插座（卫生间） ,个,110.16,8.6,947.38,0.00862241703193
金属抱箍 ,套,182.31,5.0,911.55,0.0142697244834
单相三极防溅插座（冰箱） ,个,146.88,6.1,895.97,0.0114965560426
单相三极防溅插座（燃气报警用） ,个,146.88,6.1,895.97,0.0114965560426
槽钢 16以内,kg,227.76,3.87,881.43,0.0178271759549
焊接钢管 50,m,45.732,19.16,876.23,0.0035795241077
扁钢 60以内,kg,364.6224,2.37,864.15,0.028539636819
胶合剂 ,kg,145.3205,5.89,855.94,0.0113744912336
镀锌铁丝 13#-17#,kg,207.2675,4.1,849.8,0.0162231919224
设备层吸顶灯 ,套,17.17,49.0,841.33,0.00134392611146
锁紧螺母 20,个,3681.7075,0.22,809.98,0.28817372417
直管接头 15,个,1096.8789,0.7,767.82,0.0858546415153
汽车起重机 5t,台班,1.9717,388.88,766.75,0.000154328428303
防锈漆 ,kg,61.0346,12.54,765.37,0.00477728553538
KBG接地卡子 Φ25,个,2443.4175,0.31,757.46,0.191250587038
电缆桥架SR100*50 ,m,15.678,47.74,748.47,0.00122714464621
塑料手套 ST型,个,117.6,6.0,705.6,0.00920475892298
单相带保护门二、三极插座 ,个,106.08,6.5,689.52,0.00830306825297
ZRYJV-4*6 ,m,36.36,18.83,684.66,0.00284596117721
荧光灯管 40W,条,132.31,4.8,635.09,0.0103561365059
ZRBV-2.5 ,m,404.376,1.55,626.78,0.0316512210394
铜端子 35,个,36.54,16.5,602.91,0.00286005009393
胀管扎头 ,个,5872.1084,0.1,587.21,0.459620256731
镀锌机螺钉 6～12*12～120,个,2679.04,0.218,584.03,0.209693174703
终端头卡子 ,个,230.72,2.5,576.8,0.0180588603632
普通钢板 δ=8-15,kg,206.6,2.67,551.62,0.0161709455229
焊接钢管接头 20,个,718.4456,0.73,524.47,0.0562340012523
镀锌带母螺栓 8*85～100,套,1260.72,0.41,516.9,0.0986787726988
直管接头 25,个,469.2938,1.1,516.22,0.0367324514715
镀锌木螺钉 ,个,11583.52,0.044,509.67,0.906662492173
KBG直管接头 Φ25,个,814.4725,0.6,488.68,0.0637501956794
载重汽车 8t,台班,1.0584,446.02,472.07,8.28428303068e-05
绝缘导线 BV-4,m,485.301,0.95,461.04,0.037985363181
PVC 阻燃塑料管 32,m,91.4148,4.89,447.02,0.00715519724483
焊接钢管接头 25,个,428.2658,1.02,436.83,0.0335211177207
水泥 综合,kg,1183.1935,0.366,433.05,0.0926106371321
单管荧光灯（自带电容补偿） ,套,9.09,45.0,409.05,0.000711490294302
塑料胶粘带 20*50,卷,89.6,4.5,403.2,0.0070131496556
载重汽车 5t,台班,1.1717,340.29,398.72,9.17110206637e-05
防水砂浆 ,m3,1.3,302.35,393.06,0.000101753287414
镀锌带母螺栓 10*85～100,套,660.96,0.57,376.75,0.0517345021916
清油 ,kg,27.0717,13.3,360.05,0.00211894959299
焊锡膏 50g/瓶,kg,14.9716,24.0,359.32,0.00117185347527
镀锌带母螺栓 10*20～35,套,1176.0804,0.28,329.3,0.0920538822793
