名称及规格,单位,数量,市场价,合计,单位面积用量
综合工日 ,工日,5061.4387,80.0,404915.1,0.396167712899
散热器 ,片,4365.22,36.0,157147.92,0.341673450219
PPR铝塑稳态复合管DE20 ,m,7901.8482,13.16,103988.32,0.618491562304
两通恒温阀DN15 ,个,791.84,69.5,55032.88,0.0619787100814
离心杂质泵 ,台,8.0,5500.0,44000.0,0.000626174076393
水表 DN20 ,块,150.0,270.0,40500.0,0.0117407639324
塑料管卡20以内 ,个,28461.9734,1.3,37000.57,2.22776873826
普通消火栓 DN65（双栓）（含4具灭火器） ,套,20.0,1632.0,32640.0,0.00156543519098
减压稳压消火栓 DN65（双栓）（内含4具灭火器） ,套,18.0,1683.0,30294.0,0.00140889167188
PPR铝塑转换接头20*3/4 ,个,1901.2,15.5,29468.6,0.148810269255
阻火圈 DN100 ,个,152.0,163.2,24806.4,0.0118973074515
衬塑钢管 50,m,314.0478,77.72,24407.8,0.0245810738885
PPR塑料管DE25 ,m,2735.5992,8.16,22322.49,0.214120162805
玻璃棉管壳 ,m3,36.5753,600.0,21945.18,0.00286281308704
阻火圈 DN75 ,个,228.0,91.8,20930.4,0.0178459611772
其他机具费 ,元,20249.6038,1.0,20249.6,1.5849721196
衬塑钢管 40,m,323.6562,61.2,19807.76,0.025333140263
散热器 450 ,片,514.09,36.0,18507.24,0.0402387288666
PPR塑料管DE20 ,m,3012.1416,5.81,17500.54,0.235765623043
减压稳压消火栓 DN65（单栓）（含4具灭火器） ,套,11.0,1428.0,15708.0,0.000860989355041
其他材料费 ,元,14335.0494,1.0,14335.05,1.12202953976
人工费调整 ,元,13295.9799,1.0,13295.98,1.0406997417
PVC-U 下水塑料管件(室内) 100,个,1001.952,11.58,11602.6,0.0784245460238
锁闭调节阀DN15 ,个,303.0,35.7,10817.1,0.0237163431434
塑料管卡25以内 ,个,6758.5392,1.5,10137.81,0.529002755166
焊接钢管 100,m,237.957,42.53,10120.31,0.018625313087
镀锌钢管 15,m,1312.2206,7.26,9526.72,0.102709815279
PVC-U 螺旋消声塑料管100,m,357.84,26.01,9307.42,0.0280087664371
焊接钢管 70,m,333.8377,26.04,8693.13,0.0261300641828
焊接钢管 150,m,121.2566,70.77,8581.33,0.00949096743895
PVC-U 螺旋消声塑料管75,m,606.69,13.26,8044.71,0.0474866938009
衬塑钢管 100,m,49.3374,161.16,7951.22,0.00386172510958
玻璃棉 δ=20,m2,538.452,14.0,7538.33,0.0421455854728
PPR内丝弯头De20 ,个,690.0,10.4,7176.0,0.0540075140889
膨胀螺栓 ,个,70441.0252,0.1,7044.1,5.51354298685
水表 DN15 ,块,144.0,47.94,6903.36,0.0112711333751
PVC-U 下水塑料管 50,m,668.3904,8.67,5794.94,0.0523160926738
散热器对丝 38,个,8744.11,0.6,5246.47,0.684416875391
PVC-U 下水塑料管 100,m,214.704,23.46,5036.96,0.0168052598622
衬塑钢管 32,m,104.55,47.94,5012.13,0.00818331246086
镀锌钢管 40,m,238.884,20.97,5009.4,0.0186978710081
调合漆 ,kg,389.0411,12.85,4999.18,0.0304509314339
滑球式止回阀DN100 ,个,8.0,622.2,4977.6,0.000626174076393
PVC-U 上水塑料管 40,m,823.548,5.8,4776.58,0.0644605510332
焊接钢管 80,m,141.0769,32.83,4631.55,0.0110423371947
柔性下水铸铁管 100,m,61.248,74.8,4581.35,0.00479398872887
闸阀DN100 ,个,10.01,446.76,4472.07,0.000783500313087
玻璃丝布 ,m2,1832.5825,2.4,4398.2,0.143439456794
材料费调整 ,元,4391.7701,1.0,4391.77,0.343751573262
闸阀DN25 ,个,76.76,56.3,4321.59,0.00600814026299
PVC-U 下水塑料管件(室内) 75,个,835.8444,5.17,4321.32,0.0654230118973
衬塑钢管接头零件室内) 50,个,200.4364,21.48,4305.37,0.0156885097057
膨胀螺栓 Φ10,套,2930.3628,1.43,4190.42,0.229364652473
丝扣截止阀 20,个,151.5,26.5,4014.75,0.0118581715717
锁闭阀DN20 ,个,145.44,27.0,3926.88,0.0113838447088
型钢 ,kg,1654.7448,2.37,3921.75,0.129519787101
蝶阀DN150 ,个,6.0,550.8,3304.8,0.000469630557295
过滤器DN15 ,个,150.0,22.0,3300.0,0.0117407639324
焊接钢管 25,m,346.2813,9.5,3289.67,0.02710404665
柔性下水铸铁管 50,m,87.208,37.4,3261.58,0.00682592360676
减压阀DN32 ,个,12.12,255.51,3096.78,0.000948653725736
衬塑钢管接头零件室内) 40,个,227.1939,13.25,3010.32,0.0177828663118
PPR弯头De25 ,个,872.6,3.37,2940.66,0.0682999373826
柔性下水铸铁管接头零件(室内) 100,个,92.7768,31.54,2926.18,0.00726180338134
水嘴 15(铜),个,145.44,20.0,2908.8,0.0113838447088
丝扣截止阀 15,个,145.44,19.7,2865.17,0.0113838447088
PPR铝塑弯头20 ,个,1901.2,1.43,2718.71,0.148810269255
PPR转换接头De20 ,个,217.7,12.44,2708.19,0.0170397620539
蝶阀DN100 ,个,6.0,428.4,2570.4,0.000469630557295
其他人工费 ,元,2498.8596,1.0,2498.86,0.195590137758
PPR转换接头De25 ,个,145.4,17.14,2492.16,0.0113807138384
膨胀螺栓 Φ12,套,1565.6,1.56,2442.34,0.12254226675
PPR铝塑三通20 ,个,1294.3,1.84,2381.51,0.101307138384
水表 DN50 ,块,8.0,277.44,2219.52,0.000626174076393
闸阀DN50 ,个,12.12,175.95,2132.51,0.000948653725736
衬塑钢管 20,m,84.8844,24.58,2086.46,0.00664405134627
塑料胶粘带 20*50,卷,448.71,4.5,2019.2,0.0351213212273
PPR弯头De20 ,个,1377.3,1.43,1969.54,0.107803694427
PVC-U 下水塑料管件(室内) 50,个,651.1104,3.02,1966.35,0.0509635566688
PPR过桥De25 ,个,254.4,7.7,1958.88,0.0199123356293
乙炔气 ,m3,130.4749,15.0,1957.12,0.0102125
座便器 ,件,4.04,459.0,1854.36,0.000316217908579
PPR过桥De20 ,个,329.9,5.61,1850.74,0.0258218534753
衬塑钢管 25,m,49.1232,37.64,1849.0,0.00384495929869
油麻 ,kg,338.6267,5.4,1828.58,0.0265049076393
水泥 综合,kg,4982.7738,0.366,1823.7,0.390010472761
焊接钢管 50,m,93.6769,19.09,1788.29,0.00733225579211
橡胶软管接头 DN100 ,个,8.0,222.36,1778.88,0.000626174076393
镀锌活接头 15,个,1094.84,1.62,1773.64,0.0856950532248
镀锌铁丝 13#-17#,kg,417.2828,4.1,1710.86,0.0326614589856
衬塑钢管 15,m,89.6478,19.07,1709.58,0.00701689104571
UPVC洗衣机地漏DN50 ,个,144.0,11.73,1689.12,0.0112711333751
扁钢 60以内,kg,709.2185,2.37,1680.85,0.0555117798998
汽水集配器,台,7.0,22.0,1672.0,0.000547902316844
混合龙头及配件 15,套,4.04,410.0,1656.4,0.000316217908579
焊接钢管 32,m,133.7219,12.29,1643.44,0.0104666484033
PVC-U 上水塑料管件(室内) 40,个,648.3422,2.42,1568.99,0.050746884784
伸缩器 DN50 ,套,4.0,375.36,1501.44,0.000313087038197
电焊条(综合) ,kg,304.8452,4.9,1493.74,0.0238607701941
普通钢板 δ=16-20,kg,561.9308,2.64,1483.5,0.0439833124609
防锈漆 ,kg,115.2343,12.54,1445.04,0.00901959142142
UPVC地漏DN50 ,个,144.0,10.0,1440.0,0.0112711333751
柔性下水铸铁管接头零件(室内) 50,个,114.0641,11.95,1363.07,0.00892799780839
减压阀DN25 ,个,10.1,132.6,1339.26,0.000790544771446
散热器补心 38,个,845.425,1.5,1268.14,0.0661729023168
伸缩器 DN40 ,套,4.0,316.2,1264.8,0.000313087038197
衬塑钢管接头零件室内) 100,个,12.9631,96.9,1256.12,0.00101464464621
焊接钢管 200,m,11.9825,100.44,1203.52,0.000937891358798
柔性下水铸铁管 75,m,22.08,54.4,1201.15,0.00172824045085
膨胀螺栓(综合) ,套,761.6707,1.56,1188.21,0.059617305886
黑玛钢活接头 20,个,845.425,1.4,1183.6,0.0661729023168
PVC-U 下水塑料管 75,m,88.4034,13.26,1172.23,0.00691948966813
高压胶皮水管 ,m,99.9246,11.57,1156.13,0.00782127426425
酒精 ,kg,133.8195,8.2,1097.32,0.010474287727
镀锌钢管接头零件(室内) 15,个,2102.7756,0.52,1093.44,0.164587946149
球胆 100,个,41.5296,26.0,1079.77,0.00325059486537
闸阀DN40 ,个,8.08,130.05,1050.8,0.000632435817157
洗脸盆 ,件,4.04,255.0,1030.2,0.000316217908579
石棉橡胶板 ,kg,125.1926,8.1,1014.06,0.00979904508453
氧气 ,m3,329.7995,3.0,989.4,0.0258139871634
柔性下水铸铁管法兰压盖 100,个,202.8144,4.8,973.51,0.0158746399499
手动放风门 10,个,791.84,1.2,950.21,0.0619787100814
平焊法兰(1.6MPa以下) 100,片,30.0,30.9,927.0,0.00234815278647
衬塑钢管接头零件室内) 32,个,82.3075,11.21,922.67,0.00644235284909
球胆 75,个,41.7648,22.0,918.83,0.00326900438322
镀锌钢管 25,m,64.056,13.71,878.21,0.00501377582968
焊接钢管 20,m,134.0486,6.53,875.34,0.0104922197871
砂子 ,kg,24149.9781,0.036,869.4,1.89026127896
阀门 ,个,33.3084,26.0,866.02,0.00260710707577
普通钢板 3mm ,m2,9.612,88.88,854.31,0.000752348152786
平焊法兰(1.0MPa以下) 100,片,34.0,25.0,850.0,0.00266123982467
自动排气阀DN20 ,个,22.22,37.74,838.58,0.00173919849718
柔性下水铸铁管法兰压盖 50,个,250.5248,3.3,826.73,0.0196090169067
衬塑钢管 70,m,7.9866,100.98,806.49,0.000625125234815
粘接剂 ,kg,56.9244,13.5,768.48,0.00445557294928
压力表 ,支,16.6542,45.0,749.43,0.00130355353788
汽车起重机 16t,台班,0.8525,819.8,698.88,6.67266750157e-05
普通钢板 δ=8-15,kg,261.4077,2.67,697.96,0.0204608406387
截止阀DN20 ,个,18.18,37.74,686.11,0.0014229805886
石棉绒 ,kg,156.6933,4.05,634.61,0.0122646603006
焊接钢管 125,m,10.2312,59.83,612.13,0.000800814026299
平焊法兰(1.6MPa以下) 150,片,12.0,50.6,607.2,0.00093926111459
散热器胶垫 δ3,个,11362.512,0.05,568.13,0.889363807138
柔性下水铸铁管接头零件(室内) 75,个,30.024,18.71,561.75,0.0023500313087
带母螺栓 12*40-60,套,1600.3356,0.339,542.51,0.125261083281
丙酮 ,kg,84.4002,6.2,523.28,0.0066061521603
PPR三通De25 ,个,181.7,2.86,519.66,0.0142219787101
散热器丝堵 38,个,845.425,0.6,507.26,0.0661729023168
衬塑钢管接头零件室内) 15,个,143.876,3.39,487.74,0.0112614276769
衬塑钢管接头零件室内) 20,个,95.8694,5.07,486.06,0.00750386662492
压制弯头 150,个,26.3784,17.8,469.54,0.00206468378209
铅油 ,kg,63.1024,7.3,460.65,0.00493913587977
PPR三通De25*20 ,个,145.4,3.16,459.46,0.0113807138384
橡胶圈 100,个,202.8144,2.25,456.33,0.0158746399499
聚氨脂胶粘剂 ,kg,112.1775,4.0,448.71,0.00878033030683
机油 ,kg,92.4298,4.67,431.65,0.00723464308078
喉箍 70,个,164.8,2.5,412.0,0.0128991859737
PVC-U 上水塑料管 25,m,114.444,3.5,400.55,0.00895773324984
球胆 50,个,22.1284,18.0,398.31,0.00173202880401
丝扣截止阀 50,个,8.08,48.6,392.69,0.000632435817157
棉丝 ,kg,69.5918,5.5,382.75,0.00544707263619
带母螺栓 16*65-80,套,477.92,0.794,379.47,0.0374076393237
镀锌钢管 32,m,22.032,17.1,376.75,0.00172448340639
镀锌钢管接头零件(室内) 40,个,167.6872,2.21,370.59,0.0131251721979
衬塑钢管接头零件室内) 25,个,47.1005,7.56,356.08,0.00368663901064
压制弯头 100,个,45.1626,7.62,344.14,0.00353495616781
减压阀DN50 ,个,1.01,339.66,343.06,7.90544771446e-05
蝶阀DN70 ,个,1.0,336.6,336.6,7.82717595492e-05
镀锌活接头 20,个,167.66,1.95,326.94,0.013123043206
圆钢 Φ10以内,kg,139.3208,2.34,326.01,0.0109048841578
酚醛调合漆 ,kg,21.6106,12.54,271.0,0.00169149968691
压力表 0-1.6MPa,支,9.0,29.0,261.0,0.000704445835942
橡胶圈 50,个,250.5248,1.0,250.52,0.0196090169067
柔性下水铸铁管法兰压盖 75,个,64.56,3.8,245.33,0.00505322479649
PPR四通De25 ,个,72.6,3.37,244.66,0.00568252974327
镀锌活接头 25,个,86.86,2.56,222.36,0.00679868503444
叉式装载机 5t,台班,0.8,273.23,218.58,6.26174076393e-05
管卡 综合 25以内,个,484.772,0.45,218.15,0.0379439574202
镀锌铁丝 8#-12#,kg,55.9614,3.85,215.45,0.00438019724483
硬木 ,m3,0.098,2183.0,213.93,7.67063243582e-06
200号溶剂汽油 ,kg,85.515,2.4,205.24,0.00669340951785
塑料球 75,个,46.87,4.16,194.98,0.00366859737007
螺栓 ,个,52.0568,3.73,194.17,0.0040745773325
聚四氟乙烯生料带 d=20,m,661.608,0.25,165.4,0.0517852222918
螺母 ,kg,27.1721,5.87,159.5,0.00212680807765
铸铁地漏DN50 ,个,4.0,38.86,155.44,0.000313087038197
铜芯球墨铸铁截止阀DN20 ,个,4.04,37.74,152.47,0.000316217908579
橡胶板 δ=1-3,kg,18.5541,8.2,152.14,0.00145226205385
PVC-U 上水塑料管件(室内) 25,个,129.2544,1.11,143.47,0.0101169693175
衬塑钢管接头零件室内) 70,个,3.3278,40.88,136.04,0.000260472761428
平焊法兰(1.6MPa以下) 50,片,8.0,16.5,132.0,0.000626174076393
膨胀螺栓 Φ8,套,169.744,0.66,112.03,0.0132861615529
焊接钢管 40,m,6.8957,15.04,103.71,0.000539738572323
平焊法兰(1.6MPa以下) 40,片,8.0,12.7,101.6,0.000626174076393
双头带母螺栓 20*150-190,套,49.44,1.968,97.3,0.00386975579211
镀锌活接头 50,个,13.13,6.8,89.28,0.00102770820288
