名称及规格,单位,数量,市场价,合计,单位面积用量
综合工日 ,工日,7719.1266,95.0,733317.04,0.604189621165
外墙保温抗裂砂浆罩面材料费 ,元,6694.51,35.0,234307.85,0.523991077019
GRC条板 单层 ,m2,5016.6165,45.9,230262.7,0.392659400438
CL7.5预拌陶粒砼 ,m3,513.4285,440.0,225908.54,0.0401869520977
材料费调整 ,元,161253.664,1.0,161253.66,12.621608015
外墙涂料饰面材料费 ,元,8730.96,16.0,139695.36,0.683387601753
铝合金装饰板 ,m2,820.6361,120.0,98476.33,0.0642326314966
耐水腻子(粉) ,kg,44203.0961,2.2,97246.81,3.45985410927
外墙涂料饰面人工费 ,元,8730.96,9.0,78578.64,0.683387601753
外墙保温抗裂砂浆罩面人工费 ,元,6694.51,10.0,66945.1,0.523991077019
粉刷石膏 ,kg,77245.5548,0.7,54071.89,6.04614549155
35厚膨胀玻化微珠保温 ,m2,1725.7536,30.8,53153.21,0.13507777082
人工费调整 ,元,50498.8894,1.0,50498.89,3.95263692862
其他机具费 ,元,44852.7704,1.0,44852.77,3.51070525986
水泥 综合,kg,88525.6459,0.464,41075.9,6.92905806982
轻钢龙骨50*20 ,m,5032.6672,6.41,32259.4,0.393915716969
C20预拌豆石砼 C20,m3,89.794,340.0,30529.96,0.00702833437696
防裂腻子 ,kg,20983.7125,1.428,29964.74,1.64243209925
C15预拌豆石砼 C15,m3,73.9711,330.0,24410.46,0.00578984815279
JS-复合防水涂料 ,kg,2717.8784,8.2,22286.6,0.212733124609
砂子 ,kg,321452.1679,0.068,21858.75,25.1606267924
加气混凝土条板 ,m2,311.5455,64.26,20019.91,0.0243852144646
其他材料费 ,元,19849.7024,1.0,19849.7,1.55367113338
室内乳胶漆 ,kg,1345.4504,11.4,15338.13,0.105310770194
其他人工费 ,元,11469.0388,1.0,11469.04,0.897701847214
矿棉吸音板 ,m2,327.063,35.0,11447.21,0.0255997964934
玻璃棉毡 ,m3,44.2208,217.26,9607.41,0.00346123982467
烤漆钢管 ,m,610.2663,13.0,7933.46,0.0477666170946
水性封底漆(普通) ,kg,1093.5922,6.834,7473.61,0.0855973857232
乳胶漆[顶棚] ,kg,751.0946,8.058,6052.32,0.0587894959299
镀锌法兰Φ50 ,个,460.997,12.566,5792.89,0.0360830463369
Φ50钢管扶手 ,m,379.05,13.88,5261.21,0.0296689104571
矿棉板吊顶专用龙骨50*15 ,m,1274.5838,3.8,4843.42,0.0997639167188
防潮底漆 ,kg,399.48,11.5,4594.02,0.0312680025047
泡沫塑料条 ,m,9532.1336,0.4,3812.85,0.74609686913
耐碱涂塑玻纤网格布 ,m2,1667.4278,1.67,2784.6,0.130512507827
玻璃丝布 ,m2,892.92,2.856,2550.18,0.0698904195366
钢管栏杆 ,m,188.7457,13.0,2453.69,0.0147734580463
乳液型建筑胶粘剂 ,kg,1299.9212,1.6,2079.87,0.101747119599
C10预拌砼 C10,m3,6.6959,300.0,2008.77,0.000524099874765
钢管 ,m,125.628,15.6,1959.8,0.00983312460864
建筑胶 ,kg,889.6557,1.877,1669.89,0.0696349170319
界面砂浆DB ,m3,0.5978,2380.0,1422.76,4.67908578585e-05
矿棉板吊顶专用龙骨38*15 ,m,396.6441,3.1,1229.6,0.0310460316218
膨胀螺栓 Φ10,套,850.0432,1.43,1215.56,0.0665343769568
塑料踢脚 ,m,65.8376,18.0,1185.08,0.00515322479649
聚氯乙烯抗静电塑料地板 ,m2,59.1702,17.23,1019.5,0.00463135566688
玻璃胶(密封胶) ,支,139.4656,6.936,967.33,0.0109162179086
白灰 ,kg,4311.2217,0.214,922.6,0.337446908265
胶合板木门 ,m2,3.6,201.98,727.13,0.000281778334377
金刚砂 ,kg,293.475,1.632,478.95,0.0229708046337
防水粉 ,kg,50.4563,7.854,396.28,0.00394930338134
CY-401粘结剂 ,kg,26.1045,10.5,274.1,0.00204324514715
预埋铁件 ,kg,54.3035,4.44,241.11,0.00425043049468
执手锁 ,个,2.0,50.4,100.8,0.000156543519098
醇酸调合漆 ,kg,4.5448,12.3,55.9,0.000355729492799
无光调合漆 ,kg,0.9,13.77,12.39,7.04445835942e-05
纸筋 ,kg,20.562,0.59,12.13,0.00160942391985
上光蜡 ,kg,1.3342,7.8,10.41,0.00010443018159
熟桐油(光油) ,kg,0.3722,26.316,9.79,2.91327489042e-05
合页 ,个,5.328,1.7,9.06,0.000417031934878
调合漆 ,kg,0.792,9.5,7.52,6.19912335629e-05
插销 ,个,2.376,3.1,7.37,0.000185973700689
催干剂 ,kg,0.1992,29.58,5.89,1.55917345022e-05
聚醋酸乙烯乳液 ,kg,0.9862,4.6,4.54,7.71916092674e-05
滑石粉 ,kg,8.0634,0.35,2.82,0.000631136505949
油漆溶剂油 ,kg,0.8886,2.4,2.13,6.95522855354e-05
羧甲基纤维素 ,kg,0.174,11.0,1.91,1.36192861616e-05
防腐油 ,kg,1.0908,1.51,1.65,8.53788353162e-05
拉手 ,个,2.376,0.42,1.0,0.000185973700689
清油 ,kg,0.0648,14.28,0.93,5.07201001879e-06
石膏粉 ,kg,1.3982,0.612,0.86,0.000109439574202
大白粉 ,kg,0.8121,0.3,0.24,6.35644959299e-05
石灰 ,kg,1.0872,0.153,0.17,8.50970569818e-05
漆片 ,kg,0.0036,36.95,0.13,2.81778334377e-07
